video_id,start,end,bbox,fps,width,height,partition,person_id
WMh3ye5tBsE,3657,3994,624-48-1018-553,25,1280,720,train,id10005
WMh3ye5tBsE,3467,3576,610-41-989-550,25,1280,720,train,id10005
WMh3ye5tBsE,1426,1546,522-49-931-580,25,1280,720,train,id10005
WMh3ye5tBsE,3292,3435,600-59-1095-540,25,1280,720,train,id10005
WMh3ye5tBsE,4022,4235,534-42-1021-572,25,1280,720,train,id10005
bDxy7bnj_bc,16635,16759,113-6-383-355,25,640,360,train,id10003
tCq2LcKO6xY,5579,5653,734-53-1047-364,25,1280,720,train,id10003
tCq2LcKO6xY,6893,6996,762-76-1013-399,25,1280,720,train,id10003
na8-QEFmj44,5580,5654,732-54-1041-361,25,1280,720,train,id10003
na8-QEFmj44,6893,6998,764-79-1010-397,25,1280,720,train,id10003
na8-QEFmj44,1923,2058,737-74-1008-392,25,1280,720,train,id10003
5ablueV_1tw,20711,20811,80-0-351-339,25,480,360,train,id10003
5ablueV_1tw,5700,5826,113-5-330-329,25,480,360,train,id10003
5ablueV_1tw,17427,17553,52-9-349-329,25,480,360,train,id10003
K5zRxtXc27s,5470,5566,196-38-630-508,25,1280,720,train,id10003
K5zRxtXc27s,8795,8911,214-48-672-510,25,1280,720,train,id10003
K5zRxtXc27s,1250,1437,279-83-768-518,25,1280,720,train,id10003
K5zRxtXc27s,7574,7830,207-44-685-506,25,1280,720,train,id10003
K5zRxtXc27s,3184,3333,296-50-645-534,25,1280,720,train,id10003
K5zRxtXc27s,7353,7463,272-89-602-523,25,1280,720,train,id10003
K5zRxtXc27s,3721,3881,254-62-677-515,25,1280,720,train,id10003
K5zRxtXc27s,6205,6297,234-52-676-541,25,1280,720,train,id10003
K5zRxtXc27s,6297,6546,249-38-723-518,25,1280,720,train,id10003
K5zRxtXc27s,13376,13440,329-65-802-511,25,1280,720,train,id10003
K5zRxtXc27s,14297,14424,276-67-684-522,25,1280,720,train,id10003
K5zRxtXc27s,12097,12215,288-45-659-492,25,1280,720,train,id10003
K5zRxtXc27s,4852,4951,393-68-696-539,25,1280,720,train,id10003
A7Hh1WKmHsg,4980,5117,535-60-867-363,25,1280,720,train,id10003
A7Hh1WKmHsg,12865,13047,544-79-883-514,25,1280,720,train,id10003
VM8gJWbQsEY,1493,1574,388-0-995-511,25,1280,720,train,id10009
VM8gJWbQsEY,1587,1667,171-0-651-472,25,1280,720,train,id10009
VM8gJWbQsEY,4658,4762,411-0-861-512,25,1280,720,train,id10009
VM8gJWbQsEY,1355,1485,556-0-1036-558,25,1280,720,train,id10009
VM8gJWbQsEY,3494,3642,280-0-798-553,25,1280,720,train,id10009
VM8gJWbQsEY,4462,4570,392-0-847-577,25,1280,720,train,id10009
JrwqvWr5_VE,231,407,387-74-709-443,25,1280,720,train,id10009
JrwqvWr5_VE,2886,3047,345-24-735-460,25,1280,720,train,id10009
JrwqvWr5_VE,2595,2731,371-39-683-395,25,1280,720,train,id10009
JrwqvWr5_VE,2344,2443,327-40-703-421,25,1280,720,train,id10009
JrwqvWr5_VE,3141,3219,245-48-668-439,25,1280,720,train,id10009
JrwqvWr5_VE,3562,3666,390-39-700-442,25,1280,720,train,id10009
JrwqvWr5_VE,3780,3932,364-28-692-447,25,1280,720,train,id10009
JrwqvWr5_VE,3299,3404,387-25-749-392,25,1280,720,train,id10009
JrwqvWr5_VE,1377,1489,397-77-712-432,25,1280,720,train,id10009
AtavJVP4bCk,10092,10216,453-83-830-513,25,1280,720,train,id10009
AtavJVP4bCk,4709,4812,406-52-835-518,25,1280,720,train,id10009
AtavJVP4bCk,14303,14466,400-44-862-624,25,1280,720,train,id10009
AtavJVP4bCk,14779,14947,387-75-831-610,25,1280,720,train,id10009
AtavJVP4bCk,13822,13965,382-59-857-599,25,1280,720,train,id10009
AtavJVP4bCk,14187,14301,436-97-834-604,25,1280,720,train,id10009
AtavJVP4bCk,7377,7540,409-44-889-529,25,1280,720,train,id10009
AtavJVP4bCk,12568,12652,385-70-862-507,25,1280,720,train,id10009
AtavJVP4bCk,12678,12801,414-46-773-521,25,1280,720,train,id10009
AtavJVP4bCk,14886,14990,423-100-821-608,25,1280,720,train,id10009
lu_eVSfv3Tg,15276,15451,155-29-467-309,25,640,360,train,id10004
bIZQaEVuATQ,9358,9470,512-93-792-424,25,1280,720,train,id10004
bIZQaEVuATQ,7312,7418,532-83-845-408,25,1280,720,train,id10004
bIZQaEVuATQ,1663,1846,412-67-748-390,25,1280,720,train,id10004
bIZQaEVuATQ,5218,5357,464-97-729-430,25,1280,720,train,id10004
bIZQaEVuATQ,8881,9086,446-94-775-422,25,1280,720,train,id10004
bIZQaEVuATQ,3845,3995,499-90-753-399,25,1280,720,train,id10004
bIZQaEVuATQ,3313,3383,439-83-817-394,25,1280,720,train,id10004
bIZQaEVuATQ,3383,3514,434-42-736-402,25,1280,720,train,id10004
bIZQaEVuATQ,8135,8386,470-79-763-415,25,1280,720,train,id10004
bIZQaEVuATQ,7011,7124,539-84-803-408,25,1280,720,train,id10004
CCygVo0iPvw,1388,1497,559-134-904-569,25,1280,720,train,id10004
CCygVo0iPvw,2252,2609,508-122-991-563,25,1280,720,train,id10004
6WxS8rpNjmk,11278,11461,249-23-495-335,25,640,356,train,id10004
6WxS8rpNjmk,10613,10841,267-18-547-336,25,640,356,train,id10004
6WxS8rpNjmk,10966,11074,247-14-533-336,25,640,356,train,id10004
zcB1pnBt_Tc,2616,2833,522-78-888-543,25,1280,720,train,id10004
zcB1pnBt_Tc,957,1806,490-75-905-617,25,1280,720,train,id10004
zcB1pnBt_Tc,562,725,531-83-907-579,25,1280,720,train,id10004
zcB1pnBt_Tc,3705,3962,509-64-871-564,25,1280,720,train,id10004
zcB1pnBt_Tc,3072,3243,516-75-915-614,25,1280,720,train,id10004
zcB1pnBt_Tc,286,478,519-79-897-606,25,1280,720,train,id10004
zcB1pnBt_Tc,2025,2469,452-63-877-578,25,1280,720,train,id10004
zcB1pnBt_Tc,3342,3560,526-70-888-569,25,1280,720,train,id10004
DtdEYdViWdw,66,172,389-0-956-776,25,1280,720,train,id10001
DtdEYdViWdw,1613,1802,372-9-964-744,25,1280,720,train,id10001
DtdEYdViWdw,2377,2716,370-0-1008-791,25,1280,720,train,id10001
7w0IBEWc9Qw,2052,2158,389-6-956-782,25,1280,720,train,id10001
7w0IBEWc9Qw,1709,1897,412-14-936-761,25,1280,720,train,id10001
7w0IBEWc9Qw,5077,5259,386-7-925-748,25,1280,720,train,id10001
7w0IBEWc9Qw,993,1143,363-0-928-773,25,1280,720,train,id10001
7w0IBEWc9Qw,1298,1705,336-0-972-790,25,1280,720,train,id10001
7w0IBEWc9Qw,2227,2457,331-0-981-819,25,1280,720,train,id10001
7w0IBEWc9Qw,3599,3788,373-10-958-755,25,1280,720,train,id10001
J9lHsKG98U8,3105,3207,241-28-502-349,25,1280,720,train,id10001
J9lHsKG98U8,1545,1775,250-42-489-356,25,1280,720,train,id10001
J9lHsKG98U8,635,993,154-26-440-341,25,1280,720,train,id10001
J9lHsKG98U8,3961,4158,233-31-502-362,25,1280,720,train,id10001
J9lHsKG98U8,3108,3422,196-28-515-366,25,1280,720,train,id10001
J9lHsKG98U8,9882,10016,195-40-457-360,25,1280,720,train,id10001
J9lHsKG98U8,4746,4904,197-35-438-350,25,1280,720,train,id10001
J9lHsKG98U8,8294,8461,138-28-411-353,25,1280,720,train,id10001
J9lHsKG98U8,3529,3993,245-34-509-371,25,1280,720,train,id10001
J9lHsKG98U8,5890,6193,110-23-426-364,25,1280,720,train,id10001
J9lHsKG98U8,8557,8724,153-31-448-355,25,1280,720,train,id10001
J9lHsKG98U8,8724,8894,243-30-515-353,25,1280,720,train,id10001
J9lHsKG98U8,1222,1361,245-30-501-351,25,1280,720,train,id10001
J9lHsKG98U8,423,605,214-31-452-343,25,1280,720,train,id10001
J9lHsKG98U8,4920,5562,198-24-486-352,25,1280,720,train,id10001
J9lHsKG98U8,2906,3008,164-39-401-351,25,1280,720,train,id10001
J9lHsKG98U8,2622,2893,129-32-407-349,25,1280,720,train,id10001
J9lHsKG98U8,6269,6547,215-35-499-360,25,1280,720,train,id10001
J9lHsKG98U8,6547,6864,224-28-509-351,25,1280,720,train,id10001
J9lHsKG98U8,6864,7013,163-33-414-345,25,1280,720,train,id10001
J9lHsKG98U8,1545,1687,265-42-488-356,25,1280,720,train,id10001
J9lHsKG98U8,10022,10286,156-37-502-362,25,1280,720,train,id10001
J9lHsKG98U8,4312,4514,246-19-542-368,25,1280,720,train,id10001
J9lHsKG98U8,2040,2288,254-30-522-348,25,1280,720,train,id10001
J9lHsKG98U8,9431,9822,197-29-466-374,25,1280,720,train,id10001
eWIX7sfn-M0,442,635,381-3-929-751,25,1280,720,train,id10001
utrA-v8pPm4,3184,3308,204-0-452-360,25,640,360,train,id10001
GZnnXtImnGA,3729,3817,393-76-765-484,25,1280,720,train,id10010
GZnnXtImnGA,3817,3983,363-92-728-443,25,1280,720,train,id10010
GZnnXtImnGA,6536,6898,446-96-790-441,25,1280,720,train,id10010
GZnnXtImnGA,7663,7811,362-76-706-423,25,1280,720,train,id10010
zbFJH6QsV48,3831,3959,515-84-850-519,25,1280,720,train,id10010
zbFJH6QsV48,2949,3116,537-67-865-512,25,1280,720,train,id10010
zbFJH6QsV48,2658,2778,533-91-862-538,25,1280,720,train,id10010
zbFJH6QsV48,3437,3536,495-64-908-499,25,1280,720,train,id10010
Fi21gDronE4,7672,7841,481-88-806-441,25,1280,720,train,id10010
Fi21gDronE4,4981,5285,488-74-848-439,25,1280,720,train,id10010
Fi21gDronE4,5944,6274,518-97-818-468,25,1280,720,train,id10010
Fi21gDronE4,6907,7348,486-89-827-473,25,1280,720,train,id10010
Fi21gDronE4,2237,2343,520-112-791-438,25,1280,720,train,id10010
Fi21gDronE4,8097,8439,430-64-814-480,25,1280,720,train,id10010
Fi21gDronE4,6705,6861,477-60-844-447,25,1280,720,train,id10010
Fi21gDronE4,8506,8670,543-96-833-473,25,1280,720,train,id10010
Fi21gDronE4,662,1686,474-45-829-464,25,1280,720,train,id10010
Fi21gDronE4,1686,2204,503-95-817-462,25,1280,720,train,id10010
Fi21gDronE4,5429,5493,532-60-853-414,25,1280,720,train,id10010
Fi21gDronE4,5493,5772,513-75-809-453,25,1280,720,train,id10010
aVg9a5-hRsw,330,460,564-66-896-425,25,1280,720,train,id10010
fapnl6uxeEw,3242,3352,559-97-939-520,25,1280,720,train,id10010
QlrC83eEY2s,2220,2353,435-89-810-476,25,1280,720,train,id10010
QlrC83eEY2s,1934,2058,450-96-772-452,25,1280,720,train,id10010
5xGZ4I9Bltc,1014,1203,442-88-755-423,25,1280,720,train,id10010
hgB5ziAudzU,8914,9055,468-66-736-421,25,1280,720,train,id10282
hgB5ziAudzU,8753,8850,420-96-781-444,25,1280,720,train,id10282
986AHSerdyI,6111,6246,691-25-955-451,25,1280,720,train,id10903
H_NA9yw_kVE,2940,3108,661-30-1039-450,25,1280,720,train,id10903
H_NA9yw_kVE,624,744,717-42-976-415,25,1280,720,train,id10903
RLKKsYiCMvc,17140,17353,709-74-978-383,25,1280,720,train,id10002
RLKKsYiCMvc,10153,10310,626-91-937-476,25,1280,720,train,id10002
RLKKsYiCMvc,23433,23543,704-78-971-424,25,1280,720,train,id10002
RLKKsYiCMvc,13831,13940,690-73-1005-374,25,1280,720,train,id10002
RLKKsYiCMvc,12299,12455,688-66-958-392,25,1280,720,train,id10002
RLKKsYiCMvc,9876,9976,636-85-927-444,25,1280,720,train,id10002
RLKKsYiCMvc,16537,16682,697-80-965-389,25,1280,720,train,id10002
RLKKsYiCMvc,15065,15288,708-69-970-452,25,1280,720,train,id10002
RLKKsYiCMvc,12750,13023,634-55-976-456,25,1280,720,train,id10002
RLKKsYiCMvc,23051,23213,673-70-986-450,25,1280,720,train,id10002
RLKKsYiCMvc,17411,17540,687-68-954-410,25,1280,720,train,id10002
RLKKsYiCMvc,12041,12179,686-62-948-399,25,1280,720,train,id10002
RLKKsYiCMvc,17555,17714,611-67-973-365,25,1280,720,train,id10002
RLKKsYiCMvc,19527,19700,696-66-967-402,25,1280,720,train,id10002
RLKKsYiCMvc,12474,12690,669-70-947-418,25,1280,720,train,id10002
RLKKsYiCMvc,11872,12016,663-61-933-399,25,1280,720,train,id10002
RLKKsYiCMvc,18269,18485,707-76-966-415,25,1280,720,train,id10002
RLKKsYiCMvc,18611,18761,694-79-975-394,25,1280,720,train,id10002
RLKKsYiCMvc,18778,18953,729-78-982-388,25,1280,720,train,id10002
RLKKsYiCMvc,17800,18050,655-75-935-413,25,1280,720,train,id10002
RLKKsYiCMvc,22465,22575,684-74-975-451,25,1280,720,train,id10002
RLKKsYiCMvc,16717,16983,678-74-960-407,25,1280,720,train,id10002
RLKKsYiCMvc,8632,9069,734-64-1122-394,25,1280,720,train,id10002
RLKKsYiCMvc,22643,22748,667-71-940-429,25,1280,720,train,id10002
eNc4LrrvV80,9847,9961,332-77-729-542,25,1280,720,train,id10002
eNc4LrrvV80,8910,9167,226-69-697-551,25,1280,720,train,id10002
eNc4LrrvV80,12723,12881,326-64-707-518,25,1280,720,train,id10002
eNc4LrrvV80,4211,4333,322-69-696-525,25,1280,720,train,id10002
eNc4LrrvV80,3962,4116,364-62-717-529,25,1280,720,train,id10002
